PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Internal outlinks to 4xx,Internal outlinks codes (4xx),No. of internal outlinks to 4xx,External outlinks to 4xx,External outlinks codes (4xx),No. of external outlinks to 4xx
21,https://www.birminghamboilerrepairs.uk/bartley-green/vaillant-specialists,Bartley Green Vaillant Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Bartley%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Bartley%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/worcester-bosch-specialists,Austin Village Worcester Bosch Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/combination-boiler-repairs,Austin Village Combination Boiler Repairs | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/acocks-green/ferroli-specialists,Acocks Green Ferroli Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-repairs
https://www.birminghamboilerrepairs.uk/Acocks%20Green/boiler-servicing
https://www.birminghamboilerrepairs.uk/Acocks%20Green/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/gas-safety,Aston Cross Gas Safety Inspections | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/combination-boiler-repairs","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/ideal-boilers-specialists,Austin Village Ideal Boilers Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/intergas-specialists,Aston Cross Intergas Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/ariston-specialists,Aston Cross Ariston Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/aston-cross/alpha-boiler-specialists,Aston Cross Alpha Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-repairs
https://www.birminghamboilerrepairs.uk/Aston%20Cross/boiler-servicing
https://www.birminghamboilerrepairs.uk/Aston%20Cross/gas-safety","404
404
404",3,,,0
21,https://www.birminghamboilerrepairs.uk/austin-village/vaillant-specialists,Austin Village Vaillant Specialists | Same Day Service | Fixed Price Quote,text/html; charset=utf-8,false,200,0,0,"https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-repairs
https://www.birminghamboilerrepairs.uk/Austin%20Village/boiler-servicing
https://www.birminghamboilerrepairs.uk/Austin%20Village/gas-safety","404
404
404",3,,,0
